denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
100,4,Random,square,30,stay,856
10,4,Random,square,80,evacuate,864
10,4,Random,square,20,stay,1161
10,4,Random,square,50,evacuate,608
100,4,Random,square,10,stay,864
100,4,Random,square,40,evacuate,1080
10,4,Random,square,40,stay,1176
10,4,Random,square,60,evacuate,704
100,4,Random,square,80,evacuate,720
100,4,Random,square,20,stay,696
100,4,Random,square,70,evacuate,576
10,4,Random,house,30,stay,4656
100,4,Random,house,50,stay,1159
10,4,Random,house,90,evacuate,800
100,4,Random,house,100,evacuate,671
10,4,Random,house,10,stay,815
100,4,Random,house,10,stay,830
10,4,Random,house,40,stay,720
10,4,Random,house,20,stay,648
100,4,Random,house,60,evacuate,751
100,4,Random,house,40,stay,927
10,4,Random,house,50,evacuate,1224
10,4,Random,house,70,evacuate,776
10,4,Random,house,80,evacuate,616
100,4,Random,house,30,stay,1007
100,4,Random,house,80,evacuate,895
10,4,Random,house,60,evacuate,1128
100,4,Random,house,20,stay,807
100,4,Random,house,90,evacuate,695
100,4,Random,house,70,evacuate,680
10,5,NA,naturalFrequency,80,evacuate,4027
10,5,NA,naturalFrequency,10,stay,1075
10,5,NA,naturalFrequency,20,stay,1173
10,5,NA,naturalFrequency,40,evacuate,1647
10,5,NA,naturalFrequency,50,evacuate,1108
100,5,NA,naturalFrequency,20,stay,4785
100,5,NA,naturalFrequency,40,evacuate,704
100,5,NA,naturalFrequency,60,evacuate,568
10,5,NA,naturalFrequency,90,evacuate,1864
10,5,NA,naturalFrequency,60,evacuate,831
10,5,NA,naturalFrequency,30,evacuate,1143
100,5,NA,naturalFrequency,90,evacuate,753
100,5,NA,naturalFrequency,100,evacuate,1024
100,5,NA,naturalFrequency,10,evacuate,580
100,5,NA,naturalFrequency,70,evacuate,75370
10,5,NA,naturalFrequency,70,evacuate,703
100,5,NA,naturalFrequency,80,evacuate,604
100,5,NA,naturalFrequency,30,evacuate,1117
100,5,NA,naturalFrequency,50,evacuate,596
10,5,Ordered,square,40,evacuate,3055
100,5,Ordered,square,50,evacuate,982
100,5,Ordered,square,40,evacuate,1299
100,5,Ordered,square,80,evacuate,612
10,5,Ordered,square,100,evacuate,1012
10,5,Ordered,square,80,evacuate,637
10,5,Ordered,square,70,evacuate,647
10,5,Ordered,square,50,evacuate,481
10,5,Ordered,square,90,evacuate,539
10,5,Ordered,square,10,stay,1348
100,5,Ordered,square,70,evacuate,871
10,5,Ordered,square,20,stay,1219
100,5,Ordered,square,20,stay,1443
100,5,Ordered,square,10,stay,1047
100,5,Ordered,square,90,evacuate,1839
10,5,Ordered,square,60,evacuate,2248
100,5,Ordered,square,60,evacuate,1051
100,5,Ordered,square,30,evacuate,1231
10,5,Ordered,square,30,evacuate,1239
10,5,Ordered,house,90,evacuate,2299
100,5,Ordered,house,70,evacuate,856
100,5,Ordered,house,30,evacuate,761
10,5,Ordered,house,20,stay,1495
100,5,Ordered,house,100,evacuate,813
10,5,Ordered,house,50,evacuate,807
100,5,Ordered,house,40,evacuate,773
100,5,Ordered,house,80,evacuate,685
10,5,Ordered,house,70,evacuate,887
100,5,Ordered,house,20,stay,1089
100,5,Ordered,house,50,evacuate,882
10,5,Ordered,house,40,evacuate,895
100,5,Ordered,house,90,evacuate,725
100,5,Ordered,house,60,evacuate,662
10,5,Ordered,house,10,stay,983
100,5,Ordered,house,10,stay,1464
10,5,Ordered,house,60,evacuate,828
10,5,Ordered,house,80,evacuate,603
10,5,Ordered,house,30,evacuate,688
100,5,Random,square,80,evacuate,1461
100,5,Random,square,0,stay,844
10,5,Random,square,70,evacuate,897
100,5,Random,square,30,evacuate,1944
10,5,Random,square,20,stay,1616
100,5,Random,square,10,stay,894
10,5,Random,square,60,evacuate,744
10,5,Random,square,30,evacuate,852
10,5,Random,square,40,evacuate,896
100,5,Random,square,90,evacuate,835
10,5,Random,square,90,evacuate,719
100,5,Random,square,40,evacuate,916
10,5,Random,square,80,evacuate,683
100,5,Random,square,20,stay,1408
100,5,Random,square,50,evacuate,759
100,5,Random,square,60,evacuate,739
10,5,Random,square,10,stay,969
10,5,Random,square,50,evacuate,625
100,5,Random,square,70,evacuate,703
100,5,Random,house,50,evacuate,1220
10,5,Random,house,60,evacuate,1152
100,5,Random,house,70,evacuate,860
10,5,Random,house,40,evacuate,960
100,5,Random,house,60,evacuate,681
100,5,Random,house,40,evacuate,990
10,5,Random,house,80,evacuate,763
10,5,Random,house,50,evacuate,703
10,5,Random,house,10,stay,848
100,5,Random,house,20,evacuate,1036
10,5,Random,house,70,evacuate,780
10,5,Random,house,30,evacuate,888
100,5,Random,house,80,evacuate,996
100,5,Random,house,30,evacuate,1076
10,5,Random,house,20,stay,959
10,5,Random,house,90,evacuate,591
100,5,Random,house,10,stay,1109
100,5,Random,house,90,evacuate,669
100,5,Random,house,100,evacuate,698
10,6,NA,naturalFrequency,90,evacuate,4099
10,6,NA,naturalFrequency,20,stay,3599
100,6,NA,naturalFrequency,50,evacuate,2077
100,6,NA,naturalFrequency,0,stay,3132
10,6,NA,naturalFrequency,70,evacuate,1643
100,6,NA,naturalFrequency,40,evacuate,2754
10,6,NA,naturalFrequency,30,stay,6345
10,6,NA,naturalFrequency,10,stay,1851
10,6,NA,naturalFrequency,60,evacuate,944
100,6,NA,naturalFrequency,20,stay,1288
100,6,NA,naturalFrequency,70,evacuate,2613
100,6,NA,naturalFrequency,30,stay,1154
100,6,NA,naturalFrequency,80,evacuate,823
100,6,NA,naturalFrequency,90,evacuate,796
100,6,NA,naturalFrequency,60,evacuate,1568
10,6,NA,naturalFrequency,40,evacuate,1918
10,6,NA,naturalFrequency,50,evacuate,875
10,6,NA,naturalFrequency,80,evacuate,864
100,6,NA,naturalFrequency,10,stay,921
10,6,Ordered,square,60,evacuate,3056
100,6,Ordered,square,90,evacuate,1910
10,6,Ordered,square,80,evacuate,1054
100,6,Ordered,square,20,stay,1062
